label,score
lh_L_V1,-0.834386544807722
lh_L_MST,-0.485611033421058
lh_L_V6,-0.8879052919573
lh_L_V2,-1.23950192792436
lh_L_V3,-0.75151192229597
lh_L_V4,-1.10066955061787
lh_L_V8,-0.721311775056625
lh_L_4,0.731396980347621
lh_L_3b,-0.157088580225483
lh_L_FEF,0.456343358125402
lh_L_PEF,-0.287773432698971
lh_L_55b,0.712224004935176
lh_L_V3A,-0.851587831259312
lh_L_RSC,-3.22212270349648
lh_L_POS2,0.621225955054806
lh_L_V7,0.558347924863199
lh_L_IPS1,1.53503709007185
lh_L_FFC,-0.364876712490736
lh_L_V3B,-0.451466647636277
lh_L_LO1,-0.292407891474266
lh_L_LO2,-1.83581950282018
lh_L_PIT,-0.921833661186351
lh_L_MT,0.244819258256887
lh_L_A1,1.74178214637876
lh_L_PSL,1.06809363771177
lh_L_SFL,0.309088056392947
lh_L_PCV,0.0922848905768643
lh_L_STV,0.406572627311274
lh_L_7Pm,0.265290914874888
lh_L_7m,-0.547567335599975
lh_L_POS1,-0.58758719957583
lh_L_23d,-0.908124785822996
lh_L_v23ab,-1.65796300319113
lh_L_d23ab,-1.26970035391624
lh_L_31pv,-1.13172860033776
lh_L_5m,2.23377921608473
lh_L_5mv,-0.821286991043792
lh_L_23c,-0.0268142452702512
lh_L_5L,1.43405236245173
lh_L_24dd,-0.640608506210623
lh_L_24dv,-1.0197889932839
lh_L_7AL,1.52249263861248
lh_L_SCEF,-0.421178716776676
lh_L_6ma,1.41086801984307
lh_L_7Am,1.28534346724268
lh_L_7PL,1.18732186711808
lh_L_7PC,2.59593570519438
lh_L_LIPv,2.33459095833552
lh_L_VIP,2.68159272421877
lh_L_MIP,1.16142139602384
lh_L_1,2.1917317226057
lh_L_2,1.83868665690442
lh_L_3a,0.142622772427745
lh_L_6d,0.323864105179027
lh_L_6mp,-0.325419696432996
lh_L_6v,-0.454246462277726
lh_L_p24pr,-0.545249675900464
lh_L_33pr,-2.74551694247974
lh_L_a24pr,-0.294507813370592
lh_L_p32pr,-1.13414437114226
lh_L_a24,-0.445944885797411
lh_L_d32,-0.79895810842076
lh_L_8BM,-0.460022108116352
lh_L_p32,-1.62270583092604
lh_L_10r,-0.589840312495742
lh_L_47m,0.579744751988802
lh_L_8Av,0.887350606098999
lh_L_8Ad,0.828257599063147
lh_L_9m,0.233607912952195
lh_L_8BL,0.415366480564007
lh_L_9p,1.26341477465317
lh_L_10d,1.44187112902064
lh_L_8C,0.653837569980014
lh_L_44,0.834921408589072
lh_L_45,0.390485848587446
lh_L_47l,-0.0738163495513926
lh_L_a47r,0.603058188156668
lh_L_6r,0.0471572247753123
lh_L_IFJa,0.756148518764981
lh_L_IFJp,-0.0271361185445249
lh_L_IFSp,0.681110735920421
lh_L_IFSa,0.477451015678397
lh_L_p9-46v,1.25013276865891
lh_L_46,0.743945734925629
lh_L_a9-46v,1.42485229479938
lh_L_9-46d,0.893683936113371
lh_L_9a,1.65905813301941
lh_L_10v,0.790718913295122
lh_L_a10p,0.162696820883409
lh_L_10pp,1.9488903858989
lh_L_11l,0.439987204174709
lh_L_13l,-0.303731978487326
lh_L_OFC,0.603492803139309
lh_L_47s,-0.267526398873978
lh_L_LIPd,1.03987292504683
lh_L_6a,0.536831471039402
lh_L_i6-8,-0.151281951932648
lh_L_s6-8,1.502313594062
lh_L_43,0.370120909311719
lh_L_OP4,-0.287346563329881
lh_L_OP1,-0.903329390410565
lh_L_OP2-3,-1.67490610252432
lh_L_52,-0.91589621808686
lh_L_RI,-0.383245865341228
lh_L_PFcm,0.668267648027436
lh_L_PoI2,0.171554360292014
lh_L_TA2,0.203399159475571
lh_L_FOP4,-0.592210470242662
lh_L_MI,0.729780728986432
lh_L_Pir,-1.54729109488862
lh_L_AVI,-0.632866335153511
lh_L_AAIC,-0.0338102555551846
lh_L_FOP1,-0.235895894998693
lh_L_FOP3,-1.52160319785519
lh_L_FOP2,-2.00306020876431
lh_L_PFt,0.673390080456508
lh_L_AIP,1.54672436029813
lh_L_EC,-1.42813601849918
lh_L_PreS,-1.77540543836184
lh_L_H,-2.26216285868698
lh_L_ProS,-1.24945332009125
lh_L_PeEc,-1.20078332702524
lh_L_STGa,-0.0556313701786944
lh_L_PBelt,0.664107392926272
lh_L_A5,0.238309500378275
lh_L_PHA1,-1.05310976216098
lh_L_PHA3,-1.65864892030235
lh_L_STSda,-0.203086336616046
lh_L_STSdp,-0.625219693330206
lh_L_STSvp,-0.0722723905833562
lh_L_TGd,-0.552954840137273
lh_L_TE1a,0.464667310822643
lh_L_TE1p,0.453745995714288
lh_L_TE2a,0.857696094303209
lh_L_TF,-0.363275952356651
lh_L_TE2p,-0.0991006140563856
lh_L_PHT,0.508283721357822
lh_L_PH,-0.440078013843615
lh_L_TPOJ1,-0.020137526388406
lh_L_TPOJ2,0.792980632452313
lh_L_TPOJ3,-0.211837158682377
lh_L_DVT,-0.463088510459226
lh_L_PGp,-0.365464518496962
lh_L_IP2,0.400496623791575
lh_L_IP1,0.225547311115722
lh_L_IP0,-0.188053821959022
lh_L_PFop,1.06065784870182
lh_L_PF,0.97466432579979
lh_L_PFm,0.247435554390015
lh_L_PGi,0.163282045018451
lh_L_PGs,-0.47168786274943
lh_L_V6A,-1.64797804669884
lh_L_VMV1,-1.7424117065014
lh_L_VMV3,-1.8518477591305
lh_L_PHA2,-2.97290294009195
lh_L_V4t,-0.156486143615881
lh_L_FST,-0.413323804011195
lh_L_V3CD,-0.818989125690024
lh_L_LO3,-0.774316729840586
lh_L_VMV2,-2.1791722240967
lh_L_31pd,-1.18796261534918
lh_L_31a,-0.341037435225061
lh_L_VVC,-0.865801032127277
lh_L_25,-0.578695235218106
lh_L_s32,-1.47499956236012
lh_L_pOFC,-0.515851629975618
lh_L_PoI1,-0.346201177593077
lh_L_Ig,0.0124672035469777
lh_L_FOP5,-1.25944860406828
lh_L_p10p,1.91004355206431
lh_L_p47r,0.814837893272399
lh_L_TGv,0.328952973282707
lh_L_MBelt,-0.919471249052984
lh_L_LBelt,0.525942859632712
lh_L_A4,0.850311942716946
lh_L_STSva,-0.485957864783443
lh_L_TE1m,-0.122848665206893
lh_L_PI,-1.38875559795323
lh_L_a32pr,-0.841348130143536
lh_L_p24,-0.619862310623389
rh_R_V1,-0.947413980253778
rh_R_MST,-0.0307997937546314
rh_R_V6,-1.05968406681919
rh_R_V2,-1.02693389147378
rh_R_V3,-0.615880204633921
rh_R_V4,-1.18773627130872
rh_R_V8,-1.17408161524023
rh_R_4,0.519190405862802
rh_R_3b,0.301077370732698
rh_R_FEF,0.502358326990525
rh_R_PEF,-0.247847376709468
rh_R_55b,0.579339398212913
rh_R_V3A,-0.628269743822247
rh_R_RSC,-2.36213730011279
rh_R_POS2,0.418680742540545
rh_R_V7,0.531550683844376
rh_R_IPS1,0.566429181669145
rh_R_FFC,-0.45005608534608
rh_R_V3B,-0.618190979343608
rh_R_LO1,-1.05012253720108
rh_R_LO2,-1.40520297801909
rh_R_PIT,-1.0437952315528
rh_R_MT,-0.171740699194729
rh_R_A1,0.650566339189876
rh_R_PSL,0.754340348312446
rh_R_SFL,0.198546962897091
rh_R_PCV,0.362420048193551
rh_R_STV,0.337982637436912
rh_R_7Pm,0.287289317986367
rh_R_7m,-0.506451036994643
rh_R_POS1,-0.700663690574382
rh_R_23d,-0.0887335406288636
rh_R_v23ab,-1.15433288255375
rh_R_d23ab,-0.217775462405596
rh_R_31pv,-0.872074979104416
rh_R_5m,2.1292134331324
rh_R_5mv,-0.291367397387111
rh_R_23c,-0.131534079869896
rh_R_5L,1.26896837956998
rh_R_24dd,-0.417588194583449
rh_R_24dv,-0.409940692136415
