Gene,1,4,5,6,8,9,10,12,13,14,15,17,18,24,25,26,27,28,29,30,31,32,34,35,37,38,39,40,41,42,43,44,45,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,67,68,69,70,71,73,74,75,76,77,81,82,83,84,85,86,87,88,91,92,93,94,96,97,99,100,103,106,107,108,109,111,114,116,117,118,119,122,123,124,125,126,127,129,130,131,132,133,134,135,136,137,138,139,140,142,143,144,145,146,147,148,149,150,151,153,154,155,157,159,161,162,163,164,165,166,167,168,171,172,173,175,176,177,178,179
A1BG,0.234123954,0.363618252,0.219162191,0.41864163,0.312790615,0.330776027,0.48753229,0.396895817,0.109954795,0.348936883,0.278542013,0.335619439,0.608451338,0.517063795,0.40592377,0.38178282,0.464150769,0.475126086,0.41818337,0.412624706,0.463695745,0.397416613,0.388828921,0.186556799,0.379655738,0.503232412,0.472813921,0.505056088,0.492845113,0.436833889,0.483447637,0.45109158,0.397212048,0.552807147,0.315775785,0.307809266,0.421415647,0.326629737,0.379983304,0.372461036,0.327545075,0.303486259,0.468285605,0.648306073,0.636861432,0.454660375,0.62812321,0.643160132,0.533571438,0.562254496,0.584584113,0.554942273,0.564145538,0.558805311,0.677182044,0.591500949,0.556303196,0.451019339,0.537187773,0.545899016,0.599440394,0.449047418,0.607345519,0.325411451,0.566765691,0.588822526,0.545574939,0.413554349,0.745988918,0.653514013,0.642563485,0.68202682,0.81328133,0.529823484,0.448351113,0.529203315,0.508247384,0.704612578,0.776719117,0.704714408,0.583323052,0.771277472,0.597835073,0.704952119,0.367513978,0.240186385,0.557949872,0.614789892,0.756155648,0.829103664,0.62809068,0.62812019,0.722117297,0.643550375,0.502739947,0.597613766,0.736119086,0.739294959,0.503306488,0.606904603,0.690900784,0.616204704,0.52056529,0.455898342,0.510317103,0.510339708,0.405269562,0.426994654,0.412391971,0.323753618,0.40315459,0.403192499,0.351228595,0.378754357,0.262158322,0.352704041,0.505258883,0.449670258,0.722809615,0.432963425,0.367016442,0.653001073,0.290164149,0.540868493,0.664014479,0.66167497,0.735951316,0.759417288,0.60196061,0.59577524,0.739810821,0.574285923,0.490537091,0.690689325,0.691370484,0.860419608,0.602025315
A1BG-AS1,0.2607709,0.284737682,0.217883865,0.400928882,0.376258848,0.31545718,0.455947122,0.359173451,0.280747068,0.433522985,0.508867894,0.482314752,0.683835704,0.452994756,0.580417499,0.378715709,0.607677305,0.653110589,0.543058972,0.428262782,0.587251178,0.590547945,0.436019444,0.403473881,0.527719392,0.504809167,0.453681088,0.484266657,0.556334482,0.47744522,0.511662963,0.583421972,0.582155343,0.433555248,0.439918832,0.657359566,0.523670818,0.389683383,0.537572348,0.312735881,0.331472566,0.483209362,0.53371774,0.479834063,0.576453511,0.530992139,0.473475888,0.614130574,0.566066984,0.762617387,0.519655393,0.526155152,0.47415981,0.581485736,0.631306687,0.648779783,0.424415309,0.505680684,0.609966081,0.448664248,0.393424826,0.495878245,0.616789598,0.458540605,0.565555506,0.534387493,0.555947622,0.52492582,0.550936681,0.611933348,0.629352856,0.597339201,0.739433258,0.544147817,0.35413232,0.641715887,0.447663367,0.672760186,0.736259673,0.746266352,0.584258295,0.710048903,0.658390189,0.721599266,0.485455269,0.419088939,0.300426866,0.47412106,0.516104057,0.720458553,0.543439827,0.608576476,0.494176529,0.573916123,0.540026174,0.589794419,0.621396944,0.577098654,0.639919536,0.619522328,0.75982546,0.670171888,0.436615058,0.498080035,0.669088694,0.621927161,0.38604538,0.403059604,0.557570689,0.39543059,0.480131399,0.7540801,0.592796826,0.444631571,0.394862389,0.456423074,0.425024552,0.45297369,0.646249444,0.420055579,0.43099863,0.447846007,0.328561509,0.626919244,0.463497877,0.584740242,0.682259399,0.666902402,0.855162128,0.536491082,0.601286918,0.537472154,0.571867123,0.614499809,0.711699897,0.640385886,0.630528072
AAAS,0.686152386,0.681522558,0.648171272,0.633253249,0.619064766,0.683072479,0.623402076,0.433057025,0.622110881,0.634243122,0.523959752,0.49786305,0.558615617,0.734703385,0.638970761,0.457149103,0.65004377,0.578142633,0.460928861,0.526094553,0.510914768,0.432899331,0.61415947,0.449025801,0.748244571,0.491052015,0.646535824,0.619758138,0.445027494,0.662587522,0.439637667,0.381951869,0.543850879,0.665251381,0.384615309,0.730733111,0.623234546,0.659568007,0.555977944,0.73171507,0.660199798,0.607458087,0.314533954,0.426299661,0.316217341,0.42651744,0.338563778,0.473775616,0.412338521,0.59718686,0.49174591,0.513001665,0.520323521,0.540257339,0.535489595,0.374370816,0.50822666,0.461002438,0.616227238,0.423791794,0.41463391,0.659409492,0.676299792,0.612247828,0.585932706,0.605620398,0.614755258,0.500079403,0.54091639,0.57932436,0.648053415,0.400581232,0.44423339,0.530094056,0.417227674,0.423781009,0.511946931,0.462589356,0.384966432,0.299092236,0.391825461,0.497847026,0.60557417,0.512748272,0.432056679,0.530576044,0.315992596,0.277171299,0.289367418,0.465141965,0.640272689,0.567798464,0.275295556,0.292265817,0.616674062,0.50392405,0.32938148,0.563736086,0.403461137,0.392260146,0.349640667,0.395439375,0.55040742,0.502357967,0.568630685,0.558848058,0.680387903,0.333324673,0.58625507,0.496719145,0.57943926,0.412067896,0.457242535,0.447882459,0.378068235,0.488982342,0.435893647,0.35291278,0.306828711,0.471803197,0.514133045,0.690400583,0.318717815,0.565400658,0.41292408,0.398444142,0.416372094,0.262396409,0.499448467,0.545463531,0.413988661,0.601864977,0.409748461,0.441887246,0.493272777,0.465522353,0.536149001
AAED1,0.279156509,0.376047408,0.253023841,0.344356046,0.434046951,0.281610359,0.556409391,0.375771575,0.232861713,0.419865857,0.279587344,0.513157295,0.507370759,0.396864477,0.444914893,0.424980343,0.42539086,0.507440885,0.322398569,0.327405638,0.495124231,0.569023281,0.440318249,0.322593848,0.554749956,0.602230288,0.386878803,0.522817702,0.669382659,0.321954913,0.576918832,0.693231533,0.59326762,0.456048144,0.509958617,0.590493871,0.462623757,0.383695845,0.396119094,0.432345854,0.437013234,0.354082249,0.490503223,0.689788023,0.581251722,0.465106805,0.567569162,0.63309258,0.516001352,0.715973779,0.527898249,0.358684289,0.530957974,0.612332348,0.443073267,0.446512306,0.488241839,0.553044246,0.475249976,0.536662713,0.408698526,0.296553289,0.529575359,0.468748301,0.409394665,0.559322686,0.528852086,0.42399583,0.67261815,0.623205946,0.503190789,0.551377068,0.658450645,0.562800368,0.489453472,0.461415446,0.476603951,0.712383482,0.676237131,0.587782785,0.619013184,0.641691011,0.529347633,0.63181555,0.553932105,0.417817284,0.66080682,0.666897438,0.63511486,0.599722498,0.439175713,0.44440111,0.849919317,0.60542374,0.50727255,0.473559954,0.578564137,0.729567839,0.42653599,0.573491252,0.474236506,0.554882943,0.460885431,0.424061175,0.461077306,0.408594351,0.275874699,0.415568707,0.46857164,0.348814521,0.582358117,0.445135334,0.450412232,0.336345179,0.290586315,0.416323619,0.471254419,0.379002534,0.613016,0.472332827,0.297000781,0.61587773,0.438847124,0.438701696,0.579452433,0.660822171,0.555777917,0.647588439,0.380928478,0.478724046,0.584186447,0.432541214,0.423437021,0.515176932,0.504367844,0.570639613,0.729845661
AAGAB,0.273261757,0.361951622,0.417117093,0.410166109,0.476785681,0.32378967,0.574070366,0.699115327,0.459659499,0.478349045,0.560966809,0.426111351,0.456691354,0.474564076,0.609072222,0.658973113,0.548943819,0.651280129,0.557876744,0.535438456,0.55041522,0.537610084,0.529102867,0.572712953,0.608936966,0.676882184,0.473968517,0.651116684,0.778263525,0.428370786,0.597579252,0.654480262,0.508346571,0.543232473,0.348957442,0.632450895,0.395828399,0.482379108,0.596419632,0.431516197,0.568392033,0.571900729,0.630933149,0.495551565,0.661264756,0.766423054,0.62386819,0.721723556,0.746267841,0.498733542,0.75776041,0.671108713,0.696218167,0.649867748,0.702488755,0.551829434,0.773698937,0.558144806,0.676609708,0.664611361,0.592994768,0.540608152,0.819974054,0.789675632,0.618513988,0.741546153,0.516230003,0.481726459,0.722706967,0.622785388,0.681715045,0.545319909,0.701374883,0.695091614,0.551735117,0.599187302,0.457767379,0.56242694,0.471628808,0.564240629,0.612500829,0.528917909,0.62029439,0.430193072,0.390757914,0.572740623,0.325547444,0.361858569,0.401270288,0.584591644,0.338854774,0.57716848,0.320505995,0.598227681,0.440911353,0.472719811,0.421396939,0.582109077,0.455074436,0.487876814,0.47070502,0.614246184,0.533921726,0.578744347,0.633050439,0.463024245,0.607490187,0.588176904,0.532788686,0.540229315,0.587402542,0.500290437,0.535400092,0.523657599,0.508630985,0.450985119,0.408992928,0.29816579,0.638051905,0.576974575,0.589957138,0.378148365,0.558698455,0.59615496,0.385811008,0.577363572,0.725459103,0.528032727,0.653758587,0.657769172,0.535334769,0.423726657,0.549645117,0.479910008,0.479776929,0.485963031,0.602535354
AAK1,0.670003626,0.713097429,0.6931128,0.626012202,0.630902138,0.52322711,0.623057225,0.574187471,0.7752908,0.686792203,0.647885035,0.457320989,0.501042967,0.723097935,0.359525818,0.684354141,0.4613744,0.50614251,0.695845706,0.553289349,0.625959154,0.621822602,0.360289598,0.742019675,0.595123703,0.448531129,0.488427007,0.562809291,0.470670455,0.554485005,0.712867078,0.590735978,0.530109004,0.488098696,0.494757723,0.511401188,0.40749181,0.634391531,0.497205729,0.803096436,0.454025871,0.504718141,0.575388472,0.289910145,0.478925767,0.45377662,0.465486909,0.473932777,0.511551361,0.458561994,0.51640412,0.661995161,0.554448838,0.460943634,0.409953579,0.444189466,0.466431454,0.350010838,0.526134432,0.47293543,0.475392292,0.549617571,0.51960474,0.495485991,0.426023434,0.532462062,0.449260592,0.591649666,0.555139971,0.477184815,0.439743114,0.473198088,0.339845675,0.538711442,0.581722684,0.529569883,0.503190448,0.405014814,0.327092904,0.540861126,0.516093313,0.291577325,0.460699675,0.409169663,0.518738263,0.658059066,0.441141788,0.485230328,0.360701483,0.423740087,0.578626375,0.440324543,0.323272859,0.435945625,0.440752048,0.294620446,0.317629386,0.300796781,0.391390405,0.409253705,0.413820813,0.484342813,0.498109442,0.500558094,0.45888788,0.574339321,0.605589771,0.656147298,0.592775764,0.672984903,0.713394424,0.584417293,0.559644939,0.597636536,0.477228008,0.802223577,0.609087634,0.685326663,0.55627986,0.685158741,0.739837112,0.6299231,0.722640081,0.512635481,0.282757962,0.344525989,0.527773395,0.278390464,0.358100454,0.377727691,0.406214865,0.538262573,0.589994072,0.424056551,0.344129191,0.275214611,0.338541425
AARD,0.694568924,0.611765157,0.590370602,0.66984909,0.546098575,0.609417317,0.450309141,0.509460525,0.594674278,0.672328276,0.524781441,0.444636575,0.471859151,0.489912794,0.561071307,0.437654595,0.655865585,0.32185474,0.649344274,0.56990498,0.615571614,0.674587769,0.769184111,0.824625997,0.606819829,0.524703336,0.40680595,0.469676608,0.332461188,0.552328833,0.52592214,0.566890555,0.676838595,0.511433959,0.725398961,0.668539047,0.506661119,0.610987015,0.561091994,0.615363846,0.406523234,0.481422935,0.588426354,0.292898644,0.328942363,0.396198209,0.333896178,0.48752886,0.464566182,0.416095212,0.426418339,0.455401453,0.505942492,0.40587823,0.544887402,0.494136055,0.423861052,0.560617955,0.554592087,0.496819146,0.455033674,0.437808651,0.379702032,0.532126423,0.547995675,0.503083943,0.534826708,0.580581869,0.353158194,0.503516816,0.368826887,0.487833261,0.215563889,0.45293325,0.5113064,0.393512371,0.711879999,0.41520342,0.240974442,0.380200159,0.451156693,0.224684275,0.427034358,0.413927113,0.65634106,0.671220824,0.381149115,0.483230368,0.26618578,0.220128516,0.596483051,0.398503973,0.463592545,0.344737404,0.47188853,0.475995051,0.299489024,0.43600283,0.585187964,0.500777208,0.395535363,0.416096987,0.568118363,0.458928146,0.5158956,0.643914042,0.797728007,0.432330934,0.584570556,0.610262693,0.707386197,0.47999614,0.598884961,0.708674996,0.534796715,0.573425933,0.702541919,0.660652854,0.473612947,0.534708136,0.556601247,0.647299289,0.730068751,0.511790677,0.475421955,0.451917548,0.493174822,0.283334185,0.532889286,0.468267597,0.433279877,0.53990693,0.586215693,0.490758764,0.45057993,0.309709573,0.431110402
AARS,0.500742132,0.558430692,0.509893072,0.472976785,0.648788824,0.611370578,0.514627784,0.555895398,0.401720297,0.385302625,0.595808069,0.557249931,0.455364479,0.556651149,0.650801983,0.527468959,0.483677663,0.651531256,0.826307435,0.549676941,0.50781388,0.515964044,0.390927663,0.350275132,0.367398638,0.442499478,0.476236544,0.511278858,0.508465948,0.515330914,0.5767436,0.642366395,0.651114902,0.688646675,0.58348724,0.650920651,0.585423557,0.743344535,0.652152194,0.552520239,0.708965914,0.591430144,0.440895236,0.28377357,0.33431237,0.387990009,0.349529208,0.428329942,0.436649615,0.549608094,0.414796578,0.528888653,0.466210742,0.610596708,0.55230613,0.724480812,0.516693605,0.600728551,0.633717549,0.584386218,0.463342629,0.612058096,0.716988671,0.63348017,0.672914299,0.534465946,0.492656435,0.593788908,0.460008748,0.577440484,0.535637666,0.505010318,0.559889638,0.614778327,0.63484803,0.607439707,0.555728849,0.540380727,0.302504299,0.264010641,0.55252852,0.382812419,0.482254717,0.337154849,0.637146524,0.60818665,0.235457212,0.357505569,0.281789029,0.257746668,0.514459084,0.614778299,0.357505876,0.367868152,0.598373373,0.471109425,0.367165173,0.404841257,0.443067654,0.3969339,0.466452476,0.420717297,0.455160239,0.354362327,0.527054789,0.606343036,0.456720074,0.686614186,0.552698882,0.626622214,0.733706151,0.781987367,0.599413278,0.544061567,0.567990136,0.49358718,0.628669149,0.473678788,0.346121195,0.490667103,0.582186984,0.551379268,0.394528714,0.431105221,0.360302374,0.487185672,0.481632069,0.427488213,0.58030862,0.592239365,0.372804391,0.539331308,0.627217936,0.426174949,0.601366269,0.39426476,0.491745153
AASDH,0.792507405,0.712702051,0.598863794,0.711426155,0.557849096,0.653197337,0.376645272,0.439534348,0.833359559,0.542563264,0.556140879,0.649133597,0.51453843,0.48855121,0.369090136,0.49837166,0.521695388,0.444676128,0.548369141,0.512280848,0.688246489,0.55640031,0.727059821,0.701148915,0.44936015,0.310131255,0.604518893,0.481619625,0.43784854,0.611228595,0.344970419,0.438542914,0.769648164,0.452728052,0.626402948,0.583365721,0.575381159,0.608505399,0.618784583,0.371479244,0.513173586,0.47697393,0.408666775,0.49879953,0.420359592,0.27919654,0.388690353,0.334055379,0.281620411,0.291755428,0.392870604,0.416787419,0.402437991,0.399823776,0.324877512,0.334301153,0.301695372,0.407790156,0.412605822,0.43732938,0.475586924,0.300459425,0.233220391,0.573508413,0.473401729,0.28766042,0.340754119,0.409568118,0.361540038,0.40393852,0.34282372,0.401377288,0.384967952,0.375181462,0.466486926,0.404034346,0.499795008,0.466260174,0.463338655,0.485921692,0.45409545,0.307445231,0.267266546,0.363717923,0.71290236,0.493313908,0.55838248,0.823580771,0.564330004,0.353106427,0.611972299,0.42254197,0.520789798,0.558526626,0.426228586,0.400497297,0.473556288,0.548460025,0.530508751,0.496672104,0.526830451,0.424278901,0.449612222,0.510973198,0.65957367,0.591159921,0.635575524,0.422895349,0.552304627,0.628347825,0.525485987,0.566677915,0.545069372,0.570308551,0.628110056,0.55250115,0.758558854,0.666890824,0.460079386,0.550717837,0.43937245,0.572415684,0.634907403,0.390045316,0.329107019,0.389569357,0.46111197,0.390708143,0.438976049,0.481829065,0.455781888,0.56120816,0.517721644,0.437995766,0.507446932,0.401187812,0.327530225
