p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
3.28E-128	1.008369797	0.539	0.163	7.09E-124	CNTNAP5
2.33E-100	1.002377963	0.492	0.171	5.02E-96	ZEB1
2.39E-112	0.999230723	0.682	0.278	5.15E-108	GRIA4
0.00E+00	0.997085448	0.256	0.006	0.00E+00	MYT1
3.07E-260	0.99200331	0.278	0.024	6.62E-256	SNX22
2.04E-123	0.983366862	0.515	0.156	4.40E-119	DAB1
6.27E-181	0.98079186	0.308	0.044	1.35E-176	FAM110B
1.38E-140	0.977420661	0.805	0.349	2.98E-136	RORA
9.35E-121	0.970310042	0.439	0.118	2.02E-116	SCRG1
3.15E-117	0.970051422	0.658	0.262	6.80E-113	PRKCA
2.77E-64	0.96939039	0.392	0.151	5.98E-60	TMEM108
1.09E-94	0.96388304	0.306	0.077	2.35E-90	MPPED2
2.71E-83	0.962052536	0.495	0.19	5.85E-79	CACNA1A
2.95E-96	0.959732947	0.397	0.12	6.36E-92	CASK
3.58E-107	0.958303405	0.655	0.273	7.72E-103	TRIM9
1.70E-134	0.952068243	0.657	0.225	3.68E-130	RP11.384F7.2
2.56E-172	0.945101949	0.279	0.038	5.52E-168	PHLDA1
8.13E-183	0.942990559	0.655	0.176	1.75E-178	ADARB2
9.75E-137	0.931961152	0.418	0.1	2.10E-132	LRP1
8.46E-143	0.926649358	0.618	0.192	1.82E-138	KAT2B
1.34E-263	0.925296058	0.279	0.024	2.90E-259	PLPP4
9.61E-163	0.924994954	0.303	0.045	2.07E-158	ARHGAP31
6.09E-115	0.924492088	0.582	0.206	1.31E-110	NTRK3
1.03E-196	0.923861687	0.301	0.038	2.21E-192	CD82
1.43E-79	0.913510994	0.397	0.135	3.08E-75	CSMD2
4.78E-99	0.910880833	0.409	0.123	1.03E-94	CSGALNACT1
2.12E-105	0.90637414	0.461	0.144	4.58E-101	USP24
1.09E-185	0.902702363	0.305	0.041	2.35E-181	HIF3A
4.93E-105	0.894165667	0.675	0.295	1.06E-100	NAV2
6.31E-101	0.894002118	0.283	0.062	1.36E-96	LRRK2
4.94E-146	0.887657926	0.476	0.114	1.07E-141	PARD3
8.03E-102	0.886581724	0.768	0.346	1.73E-97	GRIA2
1.21E-81	0.886450781	0.424	0.145	2.61E-77	TMEM132D
1.74E-119	0.88084796	0.401	0.099	3.76E-115	HIP1R
