p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
1.12E-291	1.421412432	0.588	0.181	2.41E-287	DHCR24
0.00E+00	1.415581895	0.855	0.358	0.00E+00	S100B
0.00E+00	1.310381177	0.587	0.156	0.00E+00	S100A1
0.00E+00	1.237271956	0.658	0.192	0.00E+00	DPYSL5
6.26E-283	1.193866548	0.463	0.108	1.35E-278	TUBB2B
0.00E+00	1.181077004	0.81	0.328	0.00E+00	MARCKSL1
6.50E-305	1.143362856	0.746	0.278	1.40E-300	SEPP1
4.68E-282	1.134848177	0.511	0.13	1.01E-277	HAPLN2
4.04E-301	1.127674389	0.629	0.188	8.72E-297	CDK18
2.31E-278	1.10084785	0.399	0.079	4.98E-274	GJB1
0.00E+00	1.091695315	0.907	0.524	0.00E+00	TUBA1A
9.67E-235	1.072961239	0.561	0.183	2.09E-230	LGALS1
8.54E-213	1.07144929	0.37	0.09	1.84E-208	TNFRSF21
1.92E-243	1.055436006	0.466	0.123	4.14E-239	MYLK
3.57E-249	1.053907197	0.67	0.241	7.71E-245	CARNS1
0.00E+00	1.050145873	0.889	0.388	0.00E+00	TF
0.00E+00	1.023701041	0.999	0.61	0.00E+00	PLP1
1.57E-230	1.016052576	0.597	0.2	3.39E-226	PCSK6
6.49E-222	1.006640485	0.452	0.121	1.40E-217	KLK6
1.82E-229	0.99596114	0.711	0.299	3.93E-225	SYNJ2
2.30E-259	0.983934219	0.737	0.278	4.96E-255	UGT8
3.87E-250	0.980403572	0.705	0.266	8.34E-246	ERMN
4.78E-270	0.978985287	0.718	0.253	1.03E-265	ANLN
2.24E-221	0.978008979	0.718	0.303	4.83E-217	PPP1R14A
1.00E-165	0.975121054	0.596	0.277	2.16E-161	STMN4
7.70E-215	0.964426985	0.546	0.175	1.66E-210	SLC5A11
5.16E-216	0.959021254	0.43	0.112	1.11E-211	RASSF2
4.46E-212	0.95705396	0.502	0.152	9.62E-208	ELOVL1
1.06E-262	0.936746865	0.802	0.331	2.29E-258	MAG
4.32E-201	0.931808924	0.692	0.323	9.33E-197	FEZ1
2.33E-169	0.930455314	0.5	0.18	5.04E-165	PACS2
9.97E-155	0.929902972	0.459	0.166	2.15E-150	TMEM151A
1.24E-201	0.927543495	0.69	0.303	2.68E-197	MVB12B
3.23E-242	0.921678892	0.827	0.385	6.96E-238	SCD
4.22E-210	0.914119384	0.646	0.253	9.11E-206	PAQR8
3.35E-301	0.910835989	0.963	0.611	7.22E-297	APLP1
1.31E-247	0.907145175	0.896	0.513	2.83E-243	MAN2A1
8.93E-127	0.893632642	0.559	0.276	1.93E-122	PEA15
3.08E-128	0.893098882	0.402	0.149	6.64E-124	FBXO32
2.92E-191	0.88309128	0.445	0.129	6.30E-187	CDKN1C
3.48E-132	0.879636363	0.45	0.176	7.52E-128	BACE1
4.09E-106	0.877113853	0.256	0.076	8.82E-102	HCN2
3.66E-275	0.872852857	0.947	0.491	7.90E-271	CNP
1.74E-169	0.871090402	0.568	0.225	3.76E-165	SIRT2
1.13E-169	0.871013027	0.685	0.338	2.44E-165	C4orf48
1.34E-158	0.868603656	0.644	0.316	2.89E-154	PPDPF
8.58E-148	0.868317372	0.607	0.28	1.85E-143	CNTNAP4
2.66E-298	0.867827291	0.855	0.373	5.74E-294	SPP1
1.09E-239	0.862347889	0.868	0.428	2.35E-235	ABCA2
1.21E-165	0.858790537	0.408	0.123	2.61E-161	LGALS3BP
3.56E-166	0.85425276	0.395	0.116	7.68E-162	ABCA6
2.14E-215	0.851526012	0.772	0.344	4.61E-211	CNTN2
7.46E-171	0.850960371	0.455	0.144	1.61E-166	LDB3
2.47E-78	0.850828968	0.293	0.118	5.33E-74	TMEM178A
2.17E-124	0.848034095	0.449	0.182	4.69E-120	MAPK8IP1
5.32E-201	0.847530003	0.634	0.234	1.15E-196	LINC00609
2.30E-175	0.84204299	0.285	0.061	4.96E-171	GPIHBP1
2.52E-183	0.840480521	0.614	0.24	5.43E-179	HSPA2
5.11E-228	0.839833222	0.927	0.566	1.10E-223	CRYAB
2.41E-140	0.834823546	0.321	0.091	5.20E-136	C2orf82
3.60E-101	0.824907481	0.36	0.142	7.77E-97	RASGRF1
1.79E-138	0.820556195	0.588	0.276	3.86E-134	ZDHHC20
