p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
7.10E-259	1.213121779	0.943	0.502	1.53E-254	CNP
9.58E-87	1.172720888	0.349	0.122	2.07E-82	LINC01170
9.07E-176	1.163448214	0.757	0.343	1.96E-171	MAG
7.44E-258	1.137086715	0.999	0.619	1.61E-253	PLP1
1.03E-181	1.113503751	0.829	0.402	2.22E-177	TF
1.55E-154	1.09535654	0.775	0.397	3.34E-150	SCD
2.02E-129	1.073688938	0.66	0.307	4.36E-125	MIR219A2
3.53E-132	1.038132698	0.605	0.254	7.62E-128	CARNS1
6.17E-65	1.025288578	0.308	0.116	1.33E-60	OPALIN
2.44E-76	1.014047099	0.412	0.175	5.27E-72	VWA1
3.62E-125	1.009054337	0.645	0.293	7.81E-121	UGT8
8.17E-128	0.972002431	0.703	0.357	1.76E-123	CNTN2
2.42E-111	0.971528823	0.65	0.335	5.22E-107	CREB5
9.28E-66	0.970644024	0.342	0.141	2.00E-61	ZDHHC9
1.23E-74	0.960924008	0.445	0.202	2.66E-70	HHIP
2.62E-177	0.921890545	0.929	0.62	5.65E-173	APLP1
6.77E-53	0.913493133	0.363	0.177	1.46E-48	TMEM151A
2.17E-65	0.909008398	0.353	0.144	4.68E-61	SOX8
8.66E-94	0.907349915	0.664	0.4	1.87E-89	BIN1
9.67E-46	0.906444298	0.367	0.192	2.09E-41	MAPK8IP1
6.87E-65	0.90564864	0.38	0.165	1.48E-60	ELOVL1
4.90E-78	0.896428569	0.467	0.212	1.06E-73	MYRF
1.66E-58	0.895907003	0.448	0.239	3.59E-54	SIRT2
4.75E-54	0.872750683	0.411	0.208	1.02E-49	OLIG1
7.16E-48	0.860586825	0.386	0.204	1.55E-43	SEMA4D
1.61E-113	0.858999758	0.763	0.443	3.48E-109	ABCA2
3.01E-44	0.85799828	0.407	0.229	6.50E-40	REEP3
4.12E-44	0.857161763	0.363	0.188	8.88E-40	PTN
5.35E-70	0.846669224	0.502	0.25	1.15E-65	KCNH8
1.49E-71	0.845243718	0.51	0.255	3.22E-67	MAL
2.00E-84	0.834971179	0.73	0.493	4.32E-80	UNC5C
2.88E-64	0.831305765	0.553	0.32	6.21E-60	PPP1R14A
2.04E-69	0.825245237	0.641	0.423	4.40E-65	SH3GL3
1.79E-30	0.811768906	0.372	0.237	3.87E-26	TPPP
1.51E-38	0.808394243	0.314	0.156	3.26E-34	KANK1
1.96E-27	0.804928054	0.311	0.187	4.23E-23	LGI3
4.20E-55	0.80286067	0.489	0.275	9.06E-51	CSRP1
6.75E-173	0.787458895	0.943	0.611	1.46E-168	MBP
9.29E-61	0.786412323	0.47	0.241	2.01E-56	PHLDB1
3.05E-45	0.779399574	0.369	0.185	6.58E-41	NKX6.2
2.80E-87	0.778063562	0.79	0.572	6.05E-83	SIK3
1.43E-39	0.776822533	0.314	0.155	3.09E-35	BOK
3.24E-61	0.775822194	0.52	0.285	7.00E-57	ERMN
3.50E-31	0.766409733	0.38	0.235	7.55E-27	ANO4
2.32E-49	0.763497474	0.422	0.225	5.00E-45	TTYH2
3.89E-26	0.745513714	0.432	0.309	8.39E-22	KCTD8
2.72E-38	0.729822984	0.447	0.284	5.87E-34	AATK
1.25E-60	0.728328328	0.591	0.349	2.70E-56	MARCKSL1
3.99E-17	0.721387667	0.34	0.25	8.60E-13	NFASC
1.10E-59	0.721276884	0.669	0.502	2.37E-55	TRIM2
1.28E-67	0.7193508	0.592	0.327	2.76E-63	MOBP
1.23E-44	0.717059462	0.431	0.242	2.65E-40	GPR37
8.72E-37	0.716862716	0.416	0.248	1.88E-32	DAAM2
4.90E-48	0.715739663	0.566	0.386	1.06E-43	FUT8
4.73E-131	0.701875083	0.956	0.702	1.02E-126	IL1RAPL1
6.19E-25	0.70177344	0.387	0.266	1.34E-20	SLC12A2
2.20E-27	0.701109553	0.277	0.148	4.75E-23	CLDND1
2.62E-23	0.697809652	0.265	0.152	5.65E-19	PCBP4
6.93E-46	0.697685642	0.494	0.302	1.50E-41	SEPT4
3.73E-51	0.696177353	0.517	0.301	8.05E-47	FAM107B
7.66E-32	0.685393376	0.363	0.21	1.65E-27	FA2H
1.32E-16	0.683517428	0.301	0.204	2.86E-12	DHCR24
1.40E-26	0.683347023	0.359	0.226	3.03E-22	POLR2F
1.85E-51	0.682367569	0.586	0.382	3.99E-47	SLAIN1
7.73E-78	0.68231307	0.768	0.56	1.67E-73	ZEB2
1.19E-27	0.679770627	0.432	0.299	2.58E-23	KCNMB4
2.99E-46	0.6781699	0.481	0.275	6.45E-42	ANLN
7.79E-30	0.676126022	0.335	0.191	1.68E-25	SEMA3B
4.76E-48	0.668210043	0.595	0.424	1.03E-43	TUBB4A
2.63E-101	0.667369556	0.869	0.572	5.68E-97	EDIL3
2.40E-32	0.660845487	0.367	0.21	5.19E-28	CDK18
6.47E-30	0.659546901	0.393	0.247	1.40E-25	SUN2
1.51E-33	0.656120368	0.537	0.394	3.25E-29	TMEFF2
1.91E-79	0.65556132	0.81	0.604	4.11E-75	SLC24A2
1.75E-15	0.654857371	0.324	0.24	3.78E-11	SRCIN1
7.12E-64	0.652822115	0.705	0.464	1.54E-59	RNF220
4.75E-25	0.647624104	0.535	0.446	1.02E-20	PKP4
4.51E-22	0.646998	0.344	0.228	9.74E-18	FDFT1
2.66E-21	0.645338588	0.345	0.234	5.74E-17	PPP1R16B
5.78E-22	0.64401634	0.265	0.15	1.25E-17	TMEM123
3.90E-56	0.641221484	0.698	0.525	8.43E-52	TTLL7
2.58E-20	0.637345044	0.269	0.161	5.57E-16	GOLGA7
1.73E-39	0.636320944	0.488	0.3	3.73E-35	AMER2
1.82E-39	0.633673792	0.427	0.246	3.93E-35	FGFR2
4.52E-20	0.631530232	0.342	0.232	9.75E-16	LAMP1
3.38E-16	0.626955543	0.317	0.223	7.29E-12	MIR181A1HG
3.75E-29	0.625734614	0.452	0.311	8.09E-25	GNAI1
1.53E-15	0.625362987	0.282	0.19	3.31E-11	BACE1
6.46E-24	0.624080294	0.328	0.201	1.39E-19	HEPACAM
8.68E-141	0.623781343	0.987	0.811	1.87E-136	PCDH9
2.10E-90	0.621123228	0.851	0.531	4.53E-86	PIP4K2A
3.49E-29	0.618751707	0.396	0.245	7.52E-25	PLEKHH1
7.50E-25	0.61435266	0.353	0.22	1.62E-20	PREX1
1.63E-18	0.614341319	0.358	0.257	3.53E-14	AGPAT4
2.80E-50	0.607621093	0.695	0.545	6.04E-46	ANK3
1.42E-26	0.603038909	0.351	0.209	3.07E-22	BCAS1
3.61E-20	0.602838935	0.281	0.169	7.79E-16	SHROOM4
4.27E-64	0.601612439	0.773	0.621	9.22E-60	SEPT7
9.51E-22	0.601603684	0.35	0.226	2.05E-17	CD9
1.48E-27	0.59891369	0.367	0.225	3.19E-23	SEMA6A
8.87E-59	0.595247535	0.719	0.482	1.92E-54	SLC44A1
6.63E-48	0.594763571	0.568	0.338	1.43E-43	ENPP2
2.12E-27	0.594006307	0.349	0.205	4.57E-23	LPAR1
4.64E-32	0.593227882	0.477	0.311	1.00E-27	ZNF536
8.28E-48	0.592470186	0.583	0.354	1.79E-43	FRMD4B
2.04E-55	0.589185597	0.703	0.494	4.41E-51	SHTN1
8.68E-61	0.588436143	0.7	0.431	1.87E-56	TMEM144
