p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
3.29E-33	0.59285693	0.385	0.292	7.10E-29	CNTNAP4
5.81E-69	0.585516577	0.608	0.521	1.25E-64	ATP8A1
2.40E-28	0.584432074	0.427	0.378	5.19E-24	DIP2C
3.63E-31	0.584194143	0.362	0.275	7.83E-27	CHN2
1.18E-93	0.58410628	0.592	0.393	2.55E-89	SCD
1.16E-30	0.583999072	0.289	0.198	2.51E-26	GPRC5B
7.93E-38	0.58284594	0.346	0.239	1.71E-33	GPR37
4.71E-84	0.58089757	0.664	0.548	1.02E-79	DNM3
1.31E-33	0.58046347	0.38	0.287	2.82E-29	ZDHHC20
7.44E-23	0.578677774	0.323	0.255	1.61E-18	ZNF652
3.23E-38	0.578668774	0.321	0.212	6.98E-34	MYRF
1.24E-93	0.577939687	0.676	0.553	2.67E-89	GPM6B
1.07E-22	0.567563647	0.287	0.215	2.31E-18	ATG4C
1.64E-30	0.566656857	0.327	0.239	3.54E-26	SIRT2
4.39E-31	0.565675468	0.263	0.17	9.47E-27	CLIC4
4.16E-46	0.565525866	0.485	0.389	8.97E-42	GRM3
4.76E-61	0.564597	0.602	0.536	1.03E-56	CCDC88A
1.62E-29	0.563816762	0.306	0.217	3.50E-25	PREX1
1.60E-94	0.562954591	0.558	0.339	3.46E-90	MAG
2.14E-21	0.559488453	0.308	0.241	4.63E-17	SLC22A23
9.85E-52	0.555800875	0.389	0.252	2.13E-47	MAL
2.68E-19	0.553620254	0.31	0.249	5.78E-15	USP39
6.48E-166	0.552255382	0.788	0.428	1.40E-161	ST18
7.41E-32	0.552001687	0.391	0.309	1.60E-27	GNAI1
2.92E-43	0.549294527	0.518	0.45	6.29E-39	ARHGAP21
1.12E-26	0.547183926	0.287	0.204	2.42E-22	CBR1
7.32E-27	0.544586978	0.284	0.198	1.58E-22	RFTN2
2.08E-31	0.543699882	0.34	0.246	4.48E-27	HTRA1
2.43E-33	0.543509054	0.334	0.234	5.24E-29	PLEKHB1
4.15E-22	0.539092395	0.399	0.346	8.96E-18	KIRREL3
2.39E-38	0.537997174	0.397	0.289	5.16E-34	ADIPOR2
6.85E-12	0.530490629	0.337	0.318	1.48E-07	ARFGEF3
1.48E-23	0.527830107	0.421	0.371	3.20E-19	MAP4K5
1.85E-115	0.525376647	0.663	0.426	3.99E-111	APOD
8.61E-83	0.522625312	0.659	0.501	1.86E-78	FRMD5
8.20E-105	0.52065672	0.744	0.597	1.77E-100	SLC24A2
1.16E-77	0.519545324	0.679	0.556	2.49E-73	PEX5L
2.65E-20	0.518987831	0.386	0.341	5.71E-16	ANKIB1
1.14E-18	0.517030005	0.408	0.38	2.46E-14	NCOA7
1.21E-16	0.515249984	0.339	0.291	2.62E-12	BBX
1.07E-29	0.512929678	0.453	0.399	2.31E-25	SORT1
5.40E-10	0.511055855	0.278	0.251	1.16E-05	NFASC
2.72E-14	0.509641541	0.364	0.335	5.88E-10	MYO6
6.14E-57	0.508749914	0.586	0.48	1.33E-52	MAP4K4
1.87E-28	0.504977488	0.375	0.29	4.04E-24	HIPK2
5.42E-32	0.503265482	0.389	0.301	1.17E-27	SEPT4
2.26E-30	0.502201664	0.389	0.299	4.88E-26	PXK
4.75E-134	0.501902095	0.843	0.596	1.03E-129	QKI
4.43E-16	0.500947632	0.261	0.202	9.56E-12	DHCR24
3.17E-46	0.500747051	0.414	0.281	6.85E-42	ERMN
