p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
0.00E+00	1.296783053	0.67	0.196	0.00E+00	PCSK6
0.00E+00	1.266747229	0.659	0.168	0.00E+00	SLC5A11
0.00E+00	1.208006039	0.771	0.295	0.00E+00	SYNJ2
1.61E-305	1.19847237	0.776	0.297	3.48E-301	NCKAP5
0.00E+00	1.183946702	0.966	0.431	0.00E+00	ST18
0.00E+00	1.172929907	0.726	0.229	0	LINC00609
1.66E-209	1.118431903	0.523	0.173	3.57E-205	KNOP1
0.00E+00	1.074279584	0.906	0.446	0.00E+00	RNF220
0.00E+00	1.062003452	0.946	0.603	0.00E+00	FMNL2
1.22E-221	1.032845727	0.491	0.143	2.64E-217	LDB3
1.34E-307	1.031837548	0.935	0.511	2.89E-303	MAN2A1
4.08E-203	1.022495124	0.59	0.221	8.81E-199	LMCD1.AS1
2.25E-225	1.013571794	0.599	0.211	4.85E-221	SLC25A13
4.66E-256	1.01322711	0.856	0.43	1.01E-251	PLCL1
0.00E+00	0.991610657	0.964	0.497	0.00E+00	CTNNA3
1.05E-187	0.983775048	0.278	0.055	2.26E-183	RP4.630C24.3
6.34E-184	0.983366952	0.63	0.274	1.37E-179	ZDHHC20
1.75E-243	0.968394193	0.695	0.251	3.78E-239	C10orf90
1.07E-245	0.96735601	0.79	0.335	2.31E-241	FRMD4B
2.92E-119	0.960441277	0.499	0.236	6.30E-115	MGAT5
1.16E-270	0.959244774	0.906	0.505	2.50E-266	MAP7
3.25E-39	0.957329351	0.365	0.236	7.00E-35	ERC1
6.96E-181	0.956890587	0.485	0.158	1.50E-176	LRP2
1.26E-190	0.951524629	0.493	0.158	2.71E-186	ATP10B
1.63E-134	0.944892743	0.346	0.111	3.51E-130	ACTN2
7.82E-172	0.94457536	0.372	0.102	1.69E-167	ANKRD18A
2.59E-285	0.944449692	0.906	0.428	5.59E-281	DOCK10
6.99E-149	0.934590202	0.528	0.224	1.51E-144	ZFYVE16
1.06E-167	0.931653215	0.628	0.28	2.29E-163	CNTNAP4
6.36E-201	0.926741378	0.693	0.303	1.37E-196	MVB12B
5.44E-168	0.92425268	0.531	0.202	1.17E-163	DPYSL5
8.03E-209	0.921584079	0.735	0.312	1.73E-204	MOBP
2.41E-216	0.915877294	0.767	0.343	5.19E-212	TMEM165
9.67E-146	0.915090347	0.517	0.214	2.09E-141	SLC39A11
2.78E-298	0.913676874	0.977	0.598	6.01E-294	QKI
1.74E-117	0.911032521	0.284	0.084	3.75E-113	RP11.160H12.2
1.73E-157	0.91100662	0.434	0.143	3.74E-153	CAPN3
9.26E-181	0.908299177	0.545	0.194	2.00E-176	CDK18
1.80E-145	0.903312608	0.551	0.242	3.88E-141	AGPAT4
4.91E-149	0.901885377	0.412	0.135	1.06E-144	PIEZO2
1.06E-149	0.900428477	0.357	0.105	2.29E-145	MEIS1
5.18E-143	0.898133071	0.427	0.15	1.12E-138	TBC1D12
2.32E-153	0.889969418	0.357	0.1	5.01E-149	PRR5L
1.48E-126	0.889006065	0.52	0.241	3.19E-122	DSCAML1
3.40E-226	0.884914855	0.897	0.548	7.35E-222	NTM
7.92E-132	0.880912745	0.347	0.107	1.71E-127	AC012593.1
6.35E-143	0.873991718	0.491	0.196	1.37E-138	SNX29
5.88E-131	0.87328878	0.407	0.142	1.27E-126	ASPA
1.14E-138	0.872342458	0.44	0.158	2.45E-134	ITGA2
2.45E-193	0.871098801	0.761	0.365	5.29E-189	S100B
2.35E-176	0.87086059	0.591	0.229	5.08E-172	PLEKHH1
6.71E-122	0.865203032	0.271	0.075	1.45E-117	CFTR
1.83E-109	0.864166269	0.363	0.136	3.95E-105	SLC13A3
2.43E-105	0.860985474	0.363	0.142	5.24E-101	RASGRF1
2.02E-162	0.859138734	0.636	0.286	4.37E-158	PXK
1.50E-235	0.851776549	0.891	0.465	3.24E-231	SLC44A1
6.05E-123	0.840697869	0.584	0.296	1.30E-118	KCTD8
9.22E-188	0.836738966	0.771	0.369	1.99E-183	CDH20
7.07E-133	0.834148807	0.522	0.227	1.53E-128	FAM13C
9.54E-134	0.832024338	0.566	0.267	2.06E-129	MYO1D
8.52E-167	0.830534774	0.75	0.42	1.84E-162	DLG1
3.64E-150	0.830306188	0.272	0.063	7.87E-146	LRRC63
1.52E-217	0.828988902	0.879	0.5	3.28E-213	DPYD
1.28E-89	0.823861793	0.362	0.152	2.75E-85	FBXO32
3.72E-121	0.823173254	0.326	0.102	8.04E-117	HHATL
4.19E-100	0.818982128	0.432	0.194	9.05E-96	RAB30
9.37E-226	0.816996983	0.928	0.56	2.02E-221	PDE4B
2.92E-128	0.808128394	0.449	0.171	6.30E-124	GLDN
6.32E-167	0.80780644	0.628	0.257	1.36E-162	DOCK5
2.18E-185	0.806238345	0.899	0.628	4.70E-181	PPP2R2B
7.32E-158	0.805728834	0.525	0.194	1.58E-153	BCAS1
8.87E-95	0.804166629	0.575	0.324	1.91E-90	PDE1A
2.44E-171	0.804099395	0.751	0.383	5.26E-167	GAB1
1.55E-193	0.803358466	0.872	0.539	3.34E-189	DNM3
1.78E-74	0.801801257	0.327	0.142	3.85E-70	TTLL5
3.15E-116	0.799122994	0.355	0.123	6.79E-112	RP11.286E11.1
2.37E-198	0.795211656	0.872	0.493	5.12E-194	FRMD5
1.86E-92	0.790643523	0.314	0.116	4.02E-88	KCNQ1OT1
3.00E-203	0.7891784	0.894	0.547	6.46E-199	PEX5L
1.21E-137	0.787733214	0.582	0.264	2.61E-133	CHN2
8.79E-218	0.787702074	0.88	0.413	1.90E-213	TMEM144
5.65E-140	0.787062843	0.443	0.155	1.22E-135	SHROOM4
3.45E-104	0.786278848	0.326	0.115	7.45E-100	STAT2
1.96E-172	0.784189201	0.812	0.469	4.24E-168	MAP4K4
1.18E-114	0.784186776	0.538	0.263	2.55E-110	RASGRF2
9.33E-122	0.779422633	0.356	0.117	2.01E-117	MEGF10
1.49E-142	0.779164402	0.694	0.36	3.22E-138	PRUNE2
3.92E-108	0.775435707	0.53	0.256	8.45E-104	MOB3B
1.41E-168	0.773734963	0.813	0.459	3.04E-164	FRYL
1.13E-97	0.773194462	0.327	0.118	2.45E-93	MIR100HG
2.66E-132	0.769218792	0.26	0.064	5.74E-128	RP11.298D21.1
8.79E-70	0.768700789	0.278	0.11	1.90E-65	SLC6A1.AS1
2.55E-117	0.76476214	0.511	0.228	5.49E-113	PSEN1
8.11E-103	0.764180077	0.409	0.167	1.75E-98	GNG7
5.56E-110	0.754070176	0.347	0.118	1.20E-105	SH3TC2
1.04E-109	0.748718671	0.558	0.281	2.24E-105	SLCO3A1
6.72E-137	0.742003942	0.74	0.438	1.45E-132	ARHGAP21
7.23E-193	0.741103049	0.922	0.611	1.56E-188	NKAIN2
6.89E-174	0.740995527	0.733	0.322	1.49E-169	ENPP2
1.09E-152	0.739658503	0.756	0.406	2.36E-148	DLC1
2.97E-104	0.736309829	0.381	0.143	6.42E-100	MOG
7.82E-101	0.733359122	0.583	0.329	1.69E-96	PPP1R12B
8.81E-105	0.724442604	0.519	0.245	1.90E-100	SASH1
1.52E-85	0.721139186	0.394	0.175	3.27E-81	ZNF708
3.93E-70	0.713019367	0.351	0.161	8.49E-66	IGSF11
1.82E-178	0.709381132	0.89	0.603	3.93E-174	DST
1.49E-86	0.707223577	0.282	0.098	3.22E-82	RP11.452H21.1
3.47E-103	0.706845743	0.466	0.2	7.49E-99	COL4A5
9.89E-70	0.706747498	0.38	0.181	2.13E-65	PCDH9.AS2
1.64E-87	0.70635155	0.44	0.206	3.54E-83	IQGAP1
1.18E-92	0.703896938	0.627	0.385	2.54E-88	SAMD12
1.80E-65	0.703371723	0.252	0.098	3.88E-61	BAIAP2L2
2.21E-117	0.700863757	0.656	0.36	4.76E-113	APBB2
3.53E-113	0.697688461	0.455	0.18	7.62E-109	ABCA8
2.00E-150	0.697347724	0.658	0.285	4.31E-146	UGT8
2.12E-160	0.696120428	0.842	0.492	4.58E-156	ELMO1
1.18E-90	0.695548035	0.306	0.108	2.54E-86	LGR5
7.58E-116	0.69497197	0.609	0.3	1.63E-111	PDE8A
7.20E-91	0.694117593	0.36	0.141	1.55E-86	HAPLN2
9.64E-91	0.693190652	0.371	0.148	2.08E-86	TANC1
2.40E-135	0.692614667	0.796	0.484	5.19E-131	UNC5C
2.96E-145	0.691035939	0.797	0.438	6.39E-141	SPOCK3
2.01E-64	0.690721391	0.369	0.185	4.35E-60	RNF144A
4.01E-131	0.68837297	0.638	0.296	8.65E-127	ZNF536
2.42E-101	0.686240091	0.579	0.305	5.22E-97	LANCL1
1.02E-102	0.678641314	0.53	0.253	2.19E-98	USP54
1.21E-66	0.67554461	0.396	0.2	2.61E-62	NT5DC1
1.15E-82	0.675504172	0.496	0.259	2.48E-78	GAB2
3.79E-73	0.672648452	0.268	0.1	8.17E-69	TESK2
4.88E-54	0.671476068	0.362	0.195	1.05E-49	MAP3K7
1.69E-145	0.670126045	0.679	0.298	3.65E-141	MIR219A2
1.28E-49	0.667938767	0.301	0.152	2.76E-45	USP31
7.15E-174	0.66705795	0.824	0.393	1.54E-169	TF
4.98E-44	0.665180999	0.372	0.226	1.07E-39	DTNB
1.89E-83	0.664242011	0.508	0.273	4.08E-79	SGMS1
1.75E-209	0.66227719	0.981	0.749	3.79E-205	MAGI2
4.48E-71	0.66023623	0.438	0.232	9.68E-67	CEP170
3.19E-108	0.659098107	0.586	0.285	6.89E-104	GSN
3.38E-84	0.656884987	0.654	0.437	7.30E-80	PKP4
7.40E-142	0.650409666	0.757	0.367	1.60E-137	CLDN11
1.87E-67	0.648953574	0.478	0.278	4.04E-63	FAM171A1
4.25E-136	0.648368695	0.801	0.511	9.17E-132	ATP8A1
3.25E-59	0.648348288	0.402	0.221	7.01E-55	ZDHHC14
8.49E-138	0.647639897	0.853	0.55	1.83E-133	ZEB2
3.86E-104	0.646301758	0.472	0.199	8.32E-100	FA2H
4.55E-67	0.645067625	0.259	0.1	9.83E-63	COL16A1
1.06E-104	0.641985285	0.703	0.44	2.28E-100	WSB1
6.49E-109	0.640572849	0.726	0.458	1.40E-104	RAPGEF5
7.25E-99	0.63971162	0.632	0.358	1.56E-94	MAP4K5
5.46E-64	0.633484522	0.53	0.33	1.18E-59	OTUD7A
6.97E-90	0.631343588	0.646	0.392	1.50E-85	FHIT
1.82E-78	0.631074891	0.512	0.28	3.92E-74	DICER1
1.68E-105	0.629132903	0.548	0.251	3.63E-101	CARNS1
3.10E-60	0.626560987	0.313	0.143	6.69E-56	NASP
3.15E-101	0.62570215	0.705	0.444	6.80E-97	DNAJC6
8.07E-106	0.625337844	0.674	0.372	1.74E-101	SLAIN1
5.86E-63	0.624494468	0.289	0.12	1.26E-58	FOLH1
2.83E-106	0.623158564	0.714	0.411	6.11E-102	TCF12
1.31E-76	0.622429931	0.305	0.119	2.82E-72	SPATA6
9.77E-78	0.622120357	0.389	0.172	2.11E-73	PLD1
9.23E-95	0.621472236	0.513	0.238	1.99E-90	DAAM2
3.46E-78	0.617012118	0.562	0.331	7.47E-74	ANKIB1
1.84E-104	0.615212105	0.697	0.39	3.97E-100	ALCAM
5.26E-76	0.61483271	0.418	0.198	1.14E-71	SEMA4D
9.52E-97	0.613883111	0.611	0.335	2.05E-92	DIP2B
4.74E-137	0.613640621	0.889	0.594	1.02E-132	SLC24A2
4.26E-63	0.613037035	0.495	0.296	9.20E-59	FAR1
2.84E-91	0.610912956	0.428	0.182	6.12E-87	MYO1E
1.30E-60	0.609371186	0.384	0.198	2.80E-56	ADAM10
1.95E-75	0.608275658	0.382	0.17	4.21E-71	KIF13B
4.95E-92	0.605283174	0.676	0.416	1.07E-87	SH3GL3
9.75E-68	0.604377136	0.335	0.147	2.10E-63	FAM124A
5.23E-50	0.603785396	0.364	0.197	1.13E-45	HS3ST5
1.23E-72	0.60288417	0.312	0.124	2.65E-68	CD22
1.32E-168	0.6003313	0.979	0.695	2.84E-164	IL1RAPL1
3.30E-46	0.599924768	0.406	0.248	7.13E-42	STK39
2.49E-51	0.598040669	0.276	0.125	5.37E-47	ABCA6
1.52E-175	0.597907482	0.973	0.741	3.27E-171	DLG2
2.37E-63	0.596354042	0.501	0.297	5.11E-59	EPB41L2
3.48E-53	0.594982792	0.277	0.122	7.50E-49	LINC01170
4.06E-51	0.590734307	0.391	0.221	8.75E-47	CTTNBP2
4.85E-83	0.590334825	0.545	0.284	1.05E-78	ADIPOR2
2.56E-52	0.590319475	0.322	0.157	5.53E-48	COLGALT2
1.52E-81	0.590090871	0.586	0.339	3.28E-77	BAZ2B
1.29E-86	0.589111597	0.497	0.234	2.78E-82	CERCAM
2.73E-147	0.586601997	0.914	0.52	5.89E-143	PIP4K2A
1.11E-83	0.584837397	0.498	0.238	2.39E-79	FGFR2
1.11E-67	0.584422676	0.432	0.218	2.39E-63	SEMA6A
1.60E-61	0.581479153	0.32	0.144	3.46E-57	ARHGAP22
5.33E-78	0.580767967	0.61	0.363	1.15E-73	TLE4
