p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
3.45E-176	1.138470004	0.365	0.122	7.44E-172	LINC01608
9.92E-111	1.0035503	0.287	0.108	2.14E-106	OPALIN
8.97E-165	0.994365403	0.506	0.237	1.94E-160	KCNH8
3.17E-68	0.919681167	0.379	0.228	6.84E-64	ANO4
4.77E-220	0.918967251	0.709	0.361	1.03E-215	CLDN11
0.00E+00	0.91707132	0.971	0.688	0.00E+00	IL1RAPL1
5.23E-287	0.876940192	0.882	0.492	1.13E-282	CTNNA3
2.51E-73	0.875925551	0.265	0.119	5.41E-69	PALM2
9.53E-133	0.865204621	0.558	0.3	2.06E-128	MIR219A2
4.07E-218	0.86162528	0.819	0.593	8.78E-214	SLC24A2
1.48E-140	0.854502329	0.692	0.485	3.19E-136	UNC5C
4.11E-176	0.854132597	0.714	0.446	8.87E-172	PHLPP1
3.52E-274	0.852159815	0.877	0.512	7.59E-270	PIP4K2A
8.24E-96	0.850358547	0.389	0.195	1.78E-91	HHIP
1.86E-62	0.840921346	0.257	0.123	4.02E-58	LINC00320
8.87E-251	0.839479136	0.83	0.429	1.91E-246	ST18
1.22E-125	0.838599378	0.558	0.328	2.63E-121	CREB5
7.89E-196	0.836029341	0.75	0.479	1.70E-191	SHTN1
1.82E-167	0.829049641	0.723	0.514	3.92E-163	TTLL7
4.50E-96	0.821566353	0.43	0.233	9.70E-92	CERCAM
2.81E-170	0.817579697	0.707	0.436	6.07E-166	SPOCK3
1.74E-159	0.814127084	0.743	0.566	3.76E-155	SIK3
6.91E-103	0.813077595	0.472	0.262	1.49E-98	DOCK5
1.09E-107	0.80624222	0.514	0.299	2.36E-103	ZNF536
1.06E-174	0.800389057	0.731	0.45	2.29E-170	RNF220
2.43E-77	0.798365302	0.441	0.269	5.25E-73	PDE1C
3.93E-185	0.795655916	0.752	0.467	8.49E-181	SLC44A1
3.81E-137	0.79028039	0.603	0.341	8.22E-133	FRMD4B
3.95E-180	0.78741621	0.806	0.562	8.53E-176	PDE4B
2.13E-45	0.780700716	0.34	0.221	4.60E-41	POLR2F
9.76E-99	0.779301564	0.562	0.386	2.11E-94	ARAP2
3.61E-146	0.778028813	0.716	0.498	7.80E-142	FRMD5
1.30E-70	0.770711465	0.487	0.338	2.80E-66	KIRREL3
3.69E-60	0.762058136	0.343	0.199	7.96E-56	LPAR1
1.35E-180	0.760011237	0.739	0.414	2.91E-176	TMEM144
1.43E-42	0.753045701	0.304	0.189	3.10E-38	RP3.399L15.3
1.92E-78	0.752332884	0.406	0.228	4.14E-74	SLCO1A2
1.10E-118	0.746987896	0.566	0.327	2.37E-114	ENPP2
2.18E-155	0.746940435	0.796	0.613	4.71E-151	NCAM2
3.95E-104	0.746773231	0.57	0.369	8.53E-100	SGK1
1.92E-189	0.733554776	0.824	0.562	4.15E-185	EDIL3
1.08E-55	0.731032064	0.317	0.177	2.32E-51	LINC00844
6.90E-164	0.730127294	0.724	0.432	1.49E-159	DOCK10
5.87E-81	0.720285056	0.448	0.263	1.27E-76	C10orf90
1.62E-60	0.71943732	0.379	0.231	3.49E-56	CLMN
4.62E-43	0.719081118	0.328	0.212	9.98E-39	ATG4C
1.12E-55	0.715299464	0.339	0.195	2.42E-51	VRK2
4.26E-110	0.714003154	0.675	0.505	9.20E-106	MARCH1
5.99E-72	0.712356358	0.551	0.421	1.29E-67	SH3GL3
1.51E-114	0.711300233	0.659	0.464	3.26E-110	FRYL
3.21E-119	0.709459998	0.679	0.502	6.93E-115	SPOCK1
1.62E-76	0.706746821	0.432	0.25	3.50E-72	MAL
0.00E+00	0.705214597	0.989	0.803	0.00E+00	PCDH9
8.66E-64	0.703473745	0.503	0.369	1.87E-59	PRUNE2
1.63E-50	0.699753009	0.496	0.391	3.52E-46	TMEFF2
1.41E-122	0.699295588	0.776	0.632	3.04E-118	PPP2R2B
9.15E-67	0.698897713	0.517	0.382	1.97E-62	FUT8
4.44E-56	0.698147292	0.446	0.308	9.58E-52	PDE8A
6.81E-27	0.69767447	0.271	0.187	1.47E-22	PCDH9.AS2
2.55E-98	0.696492346	0.54	0.319	5.50E-94	MOBP
1.95E-47	0.696363964	0.332	0.203	4.21E-43	BCAS1
1.09E-77	0.695117606	0.477	0.294	2.35E-73	FAM107B
4.92E-214	0.692016514	0.898	0.595	1.06E-209	QKI
1.92E-81	0.684557863	0.649	0.542	4.15E-77	ANK3
2.92E-62	0.684462649	0.446	0.295	6.31E-58	PXK
7.90E-39	0.683506725	0.396	0.296	1.70E-34	KCNMB4
7.12E-266	0.679581175	0.982	0.602	1.54E-261	PLP1
4.48E-86	0.678020075	0.582	0.416	9.67E-82	TCF12
8.00E-47	0.672861245	0.312	0.186	1.73E-42	ABCA8
1.25E-33	0.670643811	0.315	0.218	2.71E-29	MIR181A1HG
4.64E-93	0.669206525	0.632	0.447	1.00E-88	ERBB2IP
1.23E-125	0.668551656	0.75	0.616	2.65E-121	SEPT7
5.21E-48	0.668011662	0.341	0.212	1.13E-43	MYRF
1.50E-30	0.666664973	0.408	0.341	3.24E-26	PTBP2
4.85E-57	0.66567722	0.509	0.388	1.05E-52	GRM3
2.34E-123	0.664686211	0.714	0.513	5.04E-119	MAP7
2.87E-35	0.65968466	0.267	0.164	6.19E-31	SHROOM4
2.81E-91	0.658389911	0.618	0.441	6.06E-87	PLCL1
2.10E-174	0.656608844	0.812	0.493	4.53E-170	CNP
2.69E-58	0.655926624	0.485	0.351	5.81E-54	KLHL32
4.05E-70	0.654587818	0.542	0.393	8.75E-66	GAB1
4.31E-113	0.649390152	0.727	0.554	9.30E-109	ZEB2
5.81E-54	0.646020336	0.432	0.298	1.25E-49	SEPT4
3.14E-118	0.642013673	0.668	0.436	6.78E-114	ABCA2
3.57E-98	0.640929331	0.67	0.499	7.70E-94	ELMO1
5.92E-55	0.627954988	0.438	0.296	1.28E-50	AMER2
6.24E-94	0.627498441	0.687	0.547	1.35E-89	DNM3
4.76E-127	0.62714046	0.751	0.517	1.03E-122	MAN2A1
1.98E-45	0.625516906	0.415	0.287	4.28E-41	FBXL7
6.72E-54	0.622693461	0.537	0.432	1.45E-49	DLG1
