p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
0.00E+00	1.119539177	0.579	0.153	0.00E+00	LINC00844
0.00E+00	1.065439589	0.703	0.231	0.00E+00	RNASE1
0.00E+00	1.00143835	0.643	0.194	0.00E+00	CD9
0.00E+00	1.000381291	0.682	0.227	0.00E+00	MAL
0.00E+00	0.983730849	0.587	0.178	0.00E+00	CBR1
0.00E+00	0.950929077	0.979	0.553	0.00E+00	CRYAB
1.32E-284	0.945458553	0.417	0.097	2.85E-280	OPALIN
0.00E+00	0.944378605	0.92	0.506	0.00E+00	FTH1
0.00E+00	0.917796043	0.904	0.408	0.00E+00	APOD
0.00E+00	0.899223907	0.98	0.575	0.00E+00	PTGDS
8.07E-307	0.898102553	0.593	0.177	1.74E-302	HHIP
4.35E-259	0.866259101	0.514	0.152	9.39E-255	CNDP1
1.09E-246	0.853052057	0.413	0.106	2.34E-242	PALM2
1.45E-295	0.817318153	0.785	0.308	3.13E-291	ENPP2
0.00E+00	0.797049826	0.953	0.507	0.00E+00	PIP4K2A
1.56E-251	0.788627285	0.664	0.249	3.37E-247	CSRP1
2.61E-255	0.785525836	0.742	0.307	5.63E-251	PLA2G16
2.66E-237	0.780176271	0.677	0.276	5.73E-233	SEPT4
9.19E-232	0.779053539	0.598	0.217	1.98E-227	RGCC
5.62E-249	0.769666493	0.637	0.226	1.21E-244	KCNH8
1.11E-286	0.769440271	0.881	0.402	2.40E-282	TMEM144
5.77E-235	0.767311539	0.597	0.211	1.25E-230	CLMN
6.93E-232	0.761725174	0.73	0.313	1.50E-227	CREB5
1.11E-149	0.75309821	0.443	0.171	2.39E-145	PCDH9.AS2
3.33E-263	0.744795625	0.78	0.323	7.19E-259	MAG
4.36E-289	0.743782363	0.924	0.484	9.40E-285	CNP
1.43E-200	0.738005123	0.411	0.119	3.09E-196	LINC01608
1.81E-192	0.734571722	0.37	0.103	3.91E-188	HEPN1
1.94E-216	0.729409866	0.733	0.336	4.18E-212	TMEM165
1.56E-245	0.725723117	0.875	0.469	3.37E-241	SHTN1
2.61E-204	0.723559225	0.686	0.298	5.63E-200	PPP1R14A
2.41E-199	0.721935106	0.602	0.234	5.21E-195	HSPA2
9.69E-170	0.719893798	0.286	0.072	2.09E-165	RP11.267C16.1
1.69E-195	0.718717305	0.675	0.29	3.66E-191	MIR219A2
4.55E-211	0.715168482	0.655	0.262	9.82E-207	ERMN
1.63E-192	0.709655188	0.573	0.22	3.53E-188	GPR37
3.53E-234	0.705061315	0.755	0.323	7.62E-230	MARCKSL1
7.00E-265	0.703791493	0.938	0.488	1.51E-260	CTNNA3
2.66E-225	0.696219278	0.854	0.503	5.74E-221	TTLL7
1.15E-267	0.694982327	0.918	0.423	2.49E-263	ST18
5.30E-269	0.691209158	0.952	0.551	1.14E-264	EDIL3
4.79E-215	0.68798187	0.691	0.283	1.03E-210	ZNF536
5.33E-185	0.683217885	0.334	0.088	1.15E-180	NINJ2
6.08E-215	0.682834499	0.674	0.275	1.31E-210	AMER2
1.92E-163	0.67838839	0.587	0.257	4.14E-159	PDE1C
9.70E-204	0.675549628	0.635	0.247	2.09E-199	DOCK5
8.30E-235	0.675539488	0.912	0.601	1.79E-230	SEPT7
1.85E-199	0.674444308	0.579	0.213	4.00E-195	SLCO1A2
7.37E-209	0.671691408	0.83	0.437	1.59E-204	PHLPP1
8.45E-269	0.664667934	0.999	0.601	1.82E-264	PLP1
1.97E-122	0.662586086	0.54	0.275	4.25E-118	KIAA0930
1.74E-224	0.659726225	0.798	0.354	3.75E-220	CLDN11
3.50E-197	0.656111326	0.852	0.521	7.55E-193	TUBA1A
2.92E-205	0.656082332	0.748	0.328	6.29E-201	FRMD4B
4.21E-196	0.65334178	0.751	0.38	9.09E-192	BIN1
3.37E-170	0.650993326	0.574	0.231	7.26E-166	PMP22
7.76E-140	0.650375119	0.501	0.217	1.67E-135	ANO4
6.03E-182	0.650084446	0.515	0.183	1.30E-177	LPAR1
2.23E-163	0.64789989	0.431	0.148	4.81E-159	TPPP3
7.24E-221	0.647013585	0.87	0.457	1.56E-216	SLC44A1
2.98E-211	0.644220963	0.904	0.554	6.43E-207	PDE4B
7.41E-200	0.642154171	0.857	0.486	1.60E-195	FRMD5
3.27E-187	0.639774772	0.622	0.247	7.06E-183	C10orf90
1.85E-159	0.638407983	0.307	0.084	4.00E-155	PLPP2
5.64E-133	0.637322707	0.369	0.134	1.22E-128	CFL2
3.91E-135	0.635847706	0.326	0.104	8.43E-131	AC012593.1
1.07E-169	0.630985326	0.48	0.171	2.30E-165	SEMA3B
5.35E-113	0.630208917	0.289	0.098	1.15E-108	PCDH9.AS1
1.16E-90	0.629154596	0.508	0.279	2.50E-86	STMN4
2.33E-176	0.628378685	0.515	0.189	5.02E-172	OLIG1
8.60E-166	0.627183317	0.625	0.279	1.86E-161	PXK
1.57E-129	0.626516953	0.499	0.223	3.39E-125	FIS1
6.89E-114	0.624857091	0.385	0.157	1.49E-109	TMEM258
9.63E-168	0.622636998	0.509	0.19	2.08E-163	COL4A5
3.07E-171	0.619457868	0.417	0.133	6.62E-167	CDH19
1.70E-177	0.6188393	0.545	0.205	3.67E-173	TTYH2
6.93E-185	0.618314751	0.662	0.277	1.50E-180	FAM107B
1.24E-156	0.617995723	0.405	0.135	2.68E-152	MOG
9.19E-227	0.614230256	0.98	0.688	1.98E-222	IL1RAPL1
1.31E-151	0.613076866	0.678	0.354	2.84E-147	PRUNE2
6.29E-148	0.612194624	0.546	0.239	1.36E-143	RDX
2.61E-145	0.611742292	0.614	0.293	5.63E-141	PDE8A
5.98E-126	0.610779129	0.437	0.177	1.29E-121	RP3.399L15.3
1.73E-144	0.609723284	0.43	0.155	3.73E-140	LRP2
2.75E-164	0.609451518	0.714	0.356	5.94E-160	SGK1
2.08E-132	0.60541533	0.643	0.337	4.48E-128	KLHL32
8.39E-163	0.604958021	0.782	0.427	1.81E-158	PLCL1
5.07E-142	0.601537055	0.469	0.182	1.09E-137	RFTN2
2.02E-146	0.600871649	0.442	0.165	4.35E-142	GLDN
9.28E-146	0.600801906	0.645	0.319	2.00E-141	FEZ1
2.02E-103	0.600495902	0.336	0.132	4.37E-99	ZNF565
9.08E-170	0.598967156	0.844	0.558	1.96E-165	SIK3
1.55E-174	0.597070772	0.89	0.623	3.35E-170	PPP2R2B
4.39E-194	0.595965929	0.811	0.384	9.48E-190	TF
2.34E-207	0.593399809	0.945	0.592	5.04E-203	QKI
4.58E-136	0.588925308	0.349	0.115	9.89E-132	LINC00320
2.08E-135	0.585661463	0.283	0.082	4.48E-131	TP53TG5
8.50E-125	0.582762085	0.33	0.111	1.84E-120	LINC00639
6.97E-158	0.581389568	0.773	0.435	1.50E-153	ERBB2IP
4.08E-126	0.580026481	0.384	0.141	8.80E-122	CAPN3
1.72E-127	0.579741192	0.265	0.076	3.72E-123	RP11.81H3.2
3.10E-137	0.579200239	0.534	0.23	6.69E-133	HTRA1
3.19E-142	0.578600458	0.689	0.366	6.89E-138	FUT8
1.04E-231	0.57750937	0.787	0.369	2.24E-227	SPP1
2.70E-176	0.576288702	0.811	0.428	5.84E-172	SPOCK3
7.66E-190	0.575917197	0.84	0.441	1.65E-185	RNF220
2.12E-155	0.572009867	0.544	0.221	4.59E-151	EFHD1
1.28E-117	0.567182204	0.521	0.249	2.77E-113	NENF
2.74E-124	0.566258933	0.703	0.416	5.91E-120	UBB
2.09E-136	0.564121397	0.71	0.407	4.51E-132	SH3GL3
1.01E-144	0.562632547	0.703	0.373	2.18E-140	ARAP2
2.58E-104	0.560779542	0.597	0.328	5.56E-100	KIRREL3
6.06E-152	0.560196196	0.499	0.19	1.31E-147	FA2H
4.18E-206	0.55761819	0.931	0.606	9.03E-202	APLP1
8.55E-137	0.5573816	0.521	0.219	1.85E-132	PLEKHB1
4.91E-136	0.556324959	0.455	0.173	1.06E-131	ABCA8
2.60E-104	0.555908548	0.355	0.142	5.61E-100	DBI
1.64E-136	0.555752277	0.796	0.492	3.54E-132	SPOCK1
2.28E-169	0.554519173	0.895	0.586	4.93E-165	SLC24A2
2.06E-126	0.553986417	0.357	0.123	4.44E-122	KLK6
9.08E-119	0.552596888	0.331	0.116	1.96E-114	LAMP2
6.74E-109	0.552428228	0.312	0.11	1.45E-104	CA2
4.46E-161	0.551550872	0.685	0.306	9.62E-157	MOBP
6.86E-124	0.551523765	0.333	0.112	1.48E-119	FOLH1
1.31E-146	0.55139489	0.401	0.137	2.84E-142	ASPA
9.01E-115	0.550086827	0.332	0.121	1.94E-110	LARP6
3.70E-143	0.545230792	0.543	0.228	7.99E-139	FGFR2
1.20E-148	0.54289028	0.813	0.493	2.58E-144	MARCH1
2.49E-171	0.542879476	0.835	0.423	5.38E-167	DOCK10
4.78E-118	0.542876888	0.294	0.095	1.03E-113	ENOSF1
4.64E-131	0.542496427	0.631	0.3	1.00E-126	NCKAP5
7.40E-146	0.541686865	0.819	0.497	1.60E-141	DPYD
4.78E-120	0.54091051	0.465	0.2	1.03E-115	ATG4C
2.76E-119	0.53924151	0.331	0.114	5.97E-115	RHOU
6.66E-128	0.537913208	0.804	0.528	1.44E-123	ANK3
4.77E-165	0.534345854	0.772	0.38	1.03E-160	SCD
1.07E-92	0.533447147	0.524	0.285	2.32E-88	PRDX1
2.34E-100	0.533324069	0.285	0.101	5.06E-96	QDPR
1.00E-88	0.532128872	0.258	0.094	2.16E-84	PALM2.AKAP2
1.69E-111	0.531535661	0.609	0.329	3.64E-107	DIP2B
5.07E-90	0.530096545	0.596	0.367	1.09E-85	OSBPL1A
1.34E-125	0.527893275	0.462	0.185	2.89E-121	VRK2
8.97E-143	0.525827862	0.622	0.279	1.94E-138	SEPP1
4.00E-105	0.525486425	0.651	0.375	8.64E-101	GRM3
1.04E-105	0.525434841	0.372	0.15	2.25E-101	EMC10
1.23E-115	0.525248845	0.401	0.155	2.66E-111	ITGA2
1.94E-114	0.525219117	0.26	0.079	4.18E-110	TMEM125
2.41E-112	0.524382699	0.421	0.175	5.21E-108	PTN
1.57E-89	0.524364771	0.353	0.153	3.40E-85	TALDO1
8.64E-114	0.524287021	0.328	0.115	1.87E-109	SH3TC2
1.22E-129	0.523947744	0.528	0.226	2.63E-125	PLEKHH1
9.29E-107	0.523830925	0.473	0.218	2.00E-102	JAM3
2.50E-111	0.522149502	0.525	0.247	5.39E-107	USP54
2.25E-130	0.520450317	0.778	0.478	4.85E-126	UNC5C
1.36E-93	0.519752827	0.531	0.288	2.95E-89	LPGAT1
5.73E-110	0.518671799	0.406	0.165	1.24E-105	PLD1
7.56E-120	0.518234236	0.707	0.405	1.63E-115	TCF12
6.18E-92	0.517502888	0.372	0.163	1.33E-87	ATOX1
1.44E-81	0.51728708	0.485	0.265	3.12E-77	FAM134B
4.67E-107	0.516048854	0.353	0.133	1.01E-102	PIEZO2
6.97E-86	0.515825702	0.472	0.246	1.50E-81	PHACTR3
1.18E-163	0.515083801	0.723	0.339	2.54E-159	CNTN2
9.58E-107	0.51419536	0.57	0.301	2.07E-102	RBPJ
1.10E-151	0.514104141	0.836	0.502	2.38E-147	MAP7
1.90E-110	0.513791219	0.557	0.282	4.10E-106	KCNMB4
7.78E-135	0.51375183	0.774	0.454	1.68E-130	FRYL
3.18E-94	0.513543995	0.494	0.251	6.86E-90	SLC12A2
1.15E-90	0.511388371	0.292	0.111	2.48E-86	C12orf76
7.24E-205	0.510709329	0.995	0.803	1.56E-200	PCDH9
8.12E-127	0.509207012	0.691	0.363	1.75E-122	SLAIN1
3.96E-98	0.508948048	0.36	0.148	8.55E-94	GOLGA7
2.23E-122	0.507924343	0.481	0.2	4.81E-118	MYRF
4.61E-81	0.507718497	0.365	0.167	9.96E-77	NDUFS7
6.01E-127	0.507637686	0.473	0.191	1.30E-122	BCAS1
1.72E-105	0.504906156	0.465	0.21	3.70E-101	SEMA6A
5.66E-105	0.503701498	0.728	0.487	1.22E-100	PTK2
3.74E-138	0.503644547	0.808	0.487	8.07E-134	ELMO1
1.43E-103	0.502148304	0.392	0.159	3.08E-99	ATP10B
8.11E-74	0.500564713	0.362	0.174	1.75E-69	POLR2I
