aEndo	capEndo	vEndo	aSMC	vSMC	Per1	Per2	Fib1	Fib2	Fib3
SLC45A1	0.0416691186755088	0.0608551682472199	0.0324616671402824	0.0389673855536184	0.0903161404937543	0.0594247105602205	0.109492669913939	0.0895062611072598	0.061770424420003	0.0383470661103665
RERE	1.86449443722143	1.98928787204536	2.04382761113782	1.69876120289815	1.78452559216563	1.81591209073438	1.70128122984814	1.84565682889735	1.76024003252542	1.70298792309152
ENO1	0.342879156476367	0.239082995256758	0.279402939503488	0.295155879432	0.478901038503702	0.329231676250871	0.284421653721799	0.382863065885866	0.289611076892707	0.428100622517501
CA6	0.00429908120253051	0.012105391727771	0.0325425681020486	0	0.0198484107969233	0.00592980460628804	0.0458567434056082	0.00860059072081504	0	0.0113558867867042
SLC2A7	0	0.0112317893412642	0	0	0.00321583081977944	0.00764903294051339	0.0122757260111497	0.0101201713007314	0	0
SLC2A5	0.0356479013493617	0.0663723209968918	0.0541189442519739	0.0424162584184789	0.141311387745228	0.0392830798851637	0.0376290375659279	0.0509492413833087	0.0952053283035268	0.0813752397091149
GPR157	0.0128208699893436	0.0489514080459616	0.0157797842171724	0.0192915742843983	0.0830596257390295	0.0860789365799846	0.133431029021753	0.0714302755657231	0.0791448110188763	0.0398623680273938
H6PD	0.298563532711369	0.255841720562713	0.2419398850621	0.319294028734177	0.358000318037962	0.3051814914003	0.270764460334802	0.202871517706753	0.227062303246958	0.232169780488522
SPSB1	0.257726722843223	0.202794871366599	0.336667040754658	0.170471046353084	0.0993199223302235	0.124575829628717	0.180646952025084	2.85854767182752	2.17056205072284	1.79596213047533
SLC25A33	0.37605751483196	0.370649913580464	0.367571882802389	0.23085011385822	0.357461147582894	0.382698068357467	0.325152798931769	0.309250574146143	0.406731516296742	0.419576844991615
TMEM201	0.0379199548532204	0.057467534042399	0.0049377939552469	0.0486129887712986	0.0523527197453661	0.0723043241223211	0.0854942825141017	0.0287709983131572	0.0422887472568736	0.056609675465504
PIK3CD	0.0505367985073508	0.0601630515260809	0.0693364566023017	0.269976143742349	0.495611593632271	0.51451563760212	0.872939757073444	0.168254553667668	0.171670917697315	0.079889561180265
