gene	cluster
CAMTA1	2
TMEM44	2
F3	2
SEMA6A-AS1	2
DEPTOR	2
CYSLTR1	2
SVIL	2
RTN1	2
ACER2	2
JAK1	2
TRIB2	2
ANKH	2
GLCE	2
ACKR1	2
AC007743.1	2
MACROD2	2
CCNY	2
SERPINE1	2
FRY	2
AL157786.1	2
KIF13A	2
ATP9A	2
IFNGR2	2
CHKA	2
C1orf54	2
MAP3K20	2
KCNQ1	2
SH3GL1	2
FAM49B	2
FRAS1	2
SLCO3A1	2
PXN	2
MFHAS1	2
PHACTR1	2
SEMA3A	2
LATS2	2
KIAA1324L	2
DAAM1	2
SLC16A1-AS1	2
RNF169	2
FENDRR	2
NSUN6	2
KDM7A	2
FHIT	2
AC017101.1	2
SKAP2	2
AL117381.1	2
DENND4A	2
AC016831.7	2
EGLN1	2
NMT2	2
MAD1L1	2
KLF7	2
SMCHD1	2
LINC01725	2
TBCD	2
NRP1	2
FP700111.1	2
TBC1D22A	2
PHLPP1	2
LINC00854	2
SPG7	2
CCDC148	2
AC006059.1	2
ELF1	2
TMC1	2
AC244021.1	2
PLAUR	2
AC027097.2	2
IGF2R	2
EDN1	2
DNMBP	2
SLFN12	2
ARHGAP29	2
ST3GAL1	2
AL136164.2	2
LINC01006	2
MIR222HG	2
PPM1F	2
ARHGAP18	2
IGF1R	2
RFTN2	2
MYO1F	2
KIFC3	2
TBL1XR1	2
SIPA1L1	2
ZNF609	2
SLC12A6	2
PIP5K1A	2
RAB11A	2
PGR	2
KIF27	2
TTC19	2
ATP6V1D	2
ABLIM2	2
IQGAP1	2
DGKH	2
AC007193.2	2
PIAS1	2
BAMBI	2
AC008014.1	2
CNOT6L	2
ZNF721	2
CASP10	2
RARB	2
CUX1	2
EGFR	2
NFATC1	2
CACHD1	2
SLC20A2	2
CRY1	2
CORO1C	2
CLEC2B	2
GNAQ	2
ZSWIM6	2
MAP2K1	2
PRKAR2B	2
ATXN1	2
DCBLD1	2
ENDOD1	2
KDM4B	2
AC012404.1	2
PDE8A	2
ASIC2	2
ACVR1	2
KHDRBS2	2
FOXO3	2
CNST	2
NR3C2	2
SLC7A11	2
FAM78B	2
PEAK1	2
PPP6R2	2
LPAR6	2
WASHC2A	2
JARID2	2
NFATC2	2
AP000787.1	2
LYPLAL1	2
CREM	2
PLA2G4C	2
SPRED2	2
NAIP	2
RAI14	2
ARFIP1	2
LINC00513	2
AC011997.1	2
MBOAT2	2
KALRN	2
ZDHHC14	2
MRRF	2
RFX2	2
JCAD	2
ANKRD11	2
C11orf80	2
MCU	2
PAQR3	2
IP6K2	2
HIF1A	2
TENT4A	2
AC004594.1	2
SH3BP4	2
PRKD3	2
SOBP	2
CFAP161	2
CSGALNACT1	2
CEP350	2
NDUFV2	2
UCK2	2
EML4	2
EPB41L4A	2
RHBDL3	2
GALNT15	2
MNAT1	2
SPRED1	2
SLC7A6OS	2
AC104389.4	2
P4HA1	2
CASC15	2
FMNL2	2
IRAK3	2
RREB1	2
AC243964.2	2
SNTB2	2
MICAL3	2
AP2B1	2
NEDD4L	2
NR3C1	2
LIMS1	2
RASSF3	2
AC005920.2	2
PTGES3	2
PRSS3	2
NPIPB13	2
JMJD1C	2
XXYLT1	2
ZFYVE28	2
NFATC3	2
ZSWIM5	2
ZBTB38	2
IVNS1ABP	2
KLF12	2
STXBP1	2
USP3-AS1	2
MAML3	2
BICD1	2
GSK3B	2
DLG1	2
FOCAD	2
PCCA	2
HERC4	2
EIF2AK2	2
REEP3	2
MGST2	2
DIP2A	2
CDYL	2
CAPN2	2
PARP9	2
POGZ	2
HERC1	2
YES1	2
FGFR1	2
ATG12	2
PPP1R13L	2
VPS37B	2
RAB11FIP3	2
PITPNA	2
PHF20	2
ELOVL7	2
